geometry,State,州,議席,State abbreviation,Seat,raceID,結果
"{""type"":""Polygon"",""coordinates"":[[[14,0.1],[15,-0.5],[15,1.8],[14,1.2],[14,0.1]]]}",Alabama,アラバマ,改選,AL,1,1683,共和党
"{""type"":""Polygon"",""coordinates"":[[[16,0.1],[15,-0.5],[15,1.8],[16,1.2],[16,0.1]]]}",Alabama,アラバマ,共和党（非改選）,AL,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[0,10.3],[1,9.7],[1,12],[0,11.4],[0,10.3]]]}",Alaska,アラスカ,改選,AK,1,2933,残り
"{""type"":""Polygon"",""coordinates"":[[[2,10.3],[1,9.7],[1,12],[2,11.4],[2,10.3]]]}",Alaska,アラスカ,共和党（非改選）,AK,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[5,1.8],[6,1.2],[6,3.5],[5,2.9],[5,1.8]]]}",Arizona,アリゾナ,改選,AZ,1,3002,民主党
"{""type"":""Polygon"",""coordinates"":[[[7,1.8],[6,1.2],[6,3.5],[7,2.9],[7,1.8]]]}",Arizona,アリゾナ,民主党（非改選）,AZ,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[11,1.8],[12,1.2],[12,3.5],[11,2.9],[11,1.8]]]}",Arkansas,アーカンソー,改選,AR,1,5103,共和党
"{""type"":""Polygon"",""coordinates"":[[[13,1.8],[12,1.2],[12,3.5],[13,2.9],[13,1.8]]]}",Arkansas,アーカンソー,共和党（非改選）,AR,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[3,2.9],[3,1.8],[4,1.2],[4,3.5],[3,2.9]]]}",California,カリフォルニア,改選,CA,1,8516,民主党
"{""type"":""Polygon"",""coordinates"":[[[5,2.9],[5,1.8],[4,1.2],[4,3.5],[5,2.9]]]}",California,カリフォルニア,民主党（非改選）,CA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[6,3.5],[7,2.9],[7,5.2],[6,4.6],[6,3.5]]]}",Colorado,コロラド,改選,CO,1,7190,民主党
"{""type"":""Polygon"",""coordinates"":[[[8,3.5],[7,2.9],[7,5.2],[8,4.6],[8,3.5]]]}",Colorado,コロラド,民主党（非改選）,CO,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[21,5.2],[22,4.6],[22,6.9],[21,6.3],[21,5.2]]]}",Connecticut,コネティカット,改選,CT,1,9147,民主党
"{""type"":""Polygon"",""coordinates"":[[[23,5.2],[22,4.6],[22,6.9],[23,6.3],[23,5.2]]]}",Connecticut,コネティカット,民主党（非改選）,CT,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[18,3.5],[19,2.9],[19,5.2],[18,4.6],[18,3.5]]]}",Delaware,デラウェア,民主党（非改選）,DE,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[20,3.5],[19,2.9],[19,5.2],[20,4.6],[20,3.5]]]}",Delaware,デラウェア,民主党（非改選）,DE,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[23,1.8],[24,1.2],[24,3.5],[23,2.9],[23,1.8]]]}",District of Columbia,ワシントンDC,,DC,1,,
"{""type"":""Polygon"",""coordinates"":[[[25,1.8],[24,1.2],[24,3.5],[25,2.9],[25,1.8]]]}",District of Columbia,ワシントンDC,,DC,2,,
"{""type"":""Polygon"",""coordinates"":[[[16,-2.2],[16,-3.3],[17,-3.9],[17,-1.6],[16,-2.2]]]}",Florida,フロリダ,改選,FL,1,11160,共和党
"{""type"":""Polygon"",""coordinates"":[[[18,-2.2],[18,-3.3],[17,-3.9],[17,-1.6],[18,-2.2]]]}",Florida,フロリダ,共和党（非改選）,FL,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[15,-0.5],[15,-1.6],[16,-2.2],[16,0.1],[15,-0.5]]]}",Georgia,ジョージア,改選,GA,1,12588,残り
"{""type"":""Polygon"",""coordinates"":[[[17,-0.5],[17,-1.6],[16,-2.2],[16,0.1],[17,-0.5]]]}",Georgia,ジョージア,民主党（非改選）,GA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[0,-3.3],[1,-3.9],[1,-1.6],[0,-2.2],[0,-3.3]]]}",Hawaii,ハワイ,改選,HI,1,12211,民主党
"{""type"":""Polygon"",""coordinates"":[[[2,-3.3],[1,-3.9],[1,-1.6],[2,-2.2],[2,-3.3]]]}",Hawaii,ハワイ,民主党（非改選）,HI,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[3,5.2],[4,4.6],[4,6.9],[3,6.3],[3,5.2]]]}",Idaho,アイダホ,改選,ID,1,14055,共和党
"{""type"":""Polygon"",""coordinates"":[[[5,5.2],[4,4.6],[4,6.9],[5,6.3],[5,5.2]]]}",Idaho,アイダホ,共和党（非改選）,ID,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[11,5.2],[12,4.6],[12,6.9],[11,6.3],[11,5.2]]]}",Illinois,イリノイ,改選,IL,1,16413,民主党
"{""type"":""Polygon"",""coordinates"":[[[13,5.2],[12,4.6],[12,6.9],[13,6.3],[13,5.2]]]}",Illinois,イリノイ,民主党（非改選）,IL,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[13,5.2],[14,4.6],[14,6.9],[13,6.3],[13,5.2]]]}",Indiana,インディアナ,改選,IN,1,15765,共和党
"{""type"":""Polygon"",""coordinates"":[[[15,5.2],[14,4.6],[14,6.9],[15,6.3],[15,5.2]]]}",Indiana,インディアナ,共和党（非改選）,IN,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[9,5.2],[10,4.6],[10,6.9],[9,6.3],[9,5.2]]]}",Iowa,アイオワ,改選,IA,1,17246,共和党
"{""type"":""Polygon"",""coordinates"":[[[11,5.2],[10,4.6],[10,6.9],[11,6.3],[11,5.2]]]}",Iowa,アイオワ,共和党（非改選）,IA,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[9,1.8],[10,1.2],[10,3.5],[9,2.9],[9,1.8]]]}",Kansas,カンザス,改選,KS,1,17681,共和党
