州,民主党,その他,共和党,開票率
アラバマ,30.9,2.3,66.8,99.0
アーカンソー,31.0,3.2,65.8,99.0
アリゾナ,51.4,2.1,46.5,99.0
カリフォルニア,61.2,0.0,38.8,97.2
コロラド,55.9,2.9,41.3,99.0
コネティカット,57.5,0.0,42.5,98.5
フロリダ,41.3,1.0,57.7,100.0
ジョージア,49.4,2.1,48.5,99.9
ハワイ,71.2,2.7,26.0,99.0
アイオワ,43.9,-0.0,56.1,99.0
アイダホ,28.7,10.6,60.7,100.0
イリノイ,56.4,1.7,41.9,98.3
インディアナ,37.9,3.4,58.7,99.0
カンザス,36.9,2.9,60.1,99.0
ケンタッキー,38.2,-0.0,61.8,99.0
メリーランド,65.8,0.0,34.2,99.0
ミズーリ,42.1,2.4,55.5,99.0
ノースカロライナ,47.3,2.2,50.5,99.0
ノースダコタ,25.0,18.5,56.5,99.0
ニューハンプシャー,53.6,2.0,44.4,99.0
ネバダ,48.9,3.1,48.0,98.9
ニューヨーク,56.4,0.5,43.2,95.5
オハイオ,46.7,-0.0,53.3,99.0
オクラホマ,32.1,3.6,64.3,99.9
オクラホマ,35.2,3.0,61.8,99.9
オレゴン,55.9,3.1,41.0,99.0
ペンシルベニア,51.2,2.4,46.3,99.0
サウスカロライナ,37.1,-0.0,62.9,100.0
サウスダコタ,26.2,4.2,69.6,100.0
バーモント,68.5,3.3,28.1,99.5
ワシントン,57.3,0.0,42.7,99.0
ウィスコンシン,49.5,0.0,50.5,99.0
